threshold,kept,dropped,psnr_mean,ssim_mean
0.46,139256,118626,29.60308433653803,0.9646928127963494
0.44,144414,113468,29.864784720168768,0.9658136571785271
0.42,149571,108311,30.10887114424375,0.9667451849289808
0.40,154729,103153,30.375668553986127,0.9676850775053248
0.38,159887,97995,30.595425236626863,0.9684743160029775
0.36,165044,92838,30.77875094765826,0.9691334956299613
0.34,170202,87680,30.928433643698906,0.9697093003262818
0.32,175360,82522,31.066309980715243,0.9702023225865993
0.30,180517,77365,31.181712454635953,0.9705990923876712
0.28,185675,72207,31.272120133619627,0.9709357464314927
0.26,190832,67050,31.348157544728146,0.9712002165049916
0.24,195990,61892,31.41353165379053,0.9714513723804679
0.22,201148,56734,31.451962758296894,0.9716201232334752
0.20,206305,51577,31.48649707919937,0.9717541378163436
0.18,211463,46419,31.510211141940204,0.9718647098592301
0.16,216621,41261,31.528616098020574,0.9719515815211495
