threshold,kept,dropped,psnr_mean,ssim_mean
0.20,139520,118362,28.77476769385864,0.9645224338595234
0.18,144406,113476,29.07282643734239,0.9654051366371155
0.16,149640,108242,29.396815291843666,0.9662497228170018
0.14,155503,102379,29.78532583680852,0.9671972741017949
0.12,162120,95762,30.168879767536758,0.9681185684126634
0.11,165726,92156,30.357631905263798,0.9685657640038554
0.10,169657,88225,30.54326292573453,0.969018959707871
0.09,173790,84092,30.734054911160968,0.9694403885397902
0.08,178265,79617,30.879078214474113,0.9697834802656805
0.07,182922,74960,31.00376048486395,0.9701171528301188
0.06,188145,69737,31.110843509345916,0.9704380857403851
0.05,193921,63961,31.191811559992647,0.9707260797664878
0.04,200281,57601,31.257867987954718,0.9709906608630243
0.03,207694,50188,31.334209446455397,0.9713008066926039
0.02,216650,41232,31.442587306794383,0.9717211342951628
