threshold,kept,dropped,psnr_mean,ssim_mean
0.50,128941,128941,21.274757656415126,0.8990390473219488
0.48,134099,123783,21.356136461952964,0.8999734814346028
0.46,139256,118626,21.433758680827253,0.9008694585622168
0.44,144414,113468,21.511939242162224,0.9017705576599753
0.42,149571,108311,21.590546324147546,0.9026748336005179
0.40,154729,103153,21.658490982272628,0.903430416143929
0.38,159887,97995,21.711982763221403,0.9040970477412762
0.36,165044,92838,21.76183195372618,0.904672415162542
0.34,170202,87680,21.80610019969321,0.9051762068573158
0.32,175360,82522,21.84452395709394,0.9056109480204162
0.30,180517,77365,21.8759128732161,0.905978270805913
0.28,185675,72207,21.905787285475036,0.9063046882778497
0.26,190832,67050,21.930241725963658,0.9065819956649049
0.24,195990,61892,21.95116340987918,0.9068281199871521
0.22,201148,56734,21.96739538599101,0.9070086127987261
0.20,206305,51577,21.979388887935194,0.9071511339747712
0.18,211463,46419,21.99028745164126,0.9072695815358918
0.16,216621,41261,21.997902806675807,0.9073660875191536
