threshold,kept,dropped,psnr_mean,ssim_mean
0.22,135123,122759,21.32202679747885,0.8977595062900473
0.20,139520,118362,21.390545601186027,0.8991156887825651
0.18,144406,113476,21.456989496075927,0.8998082948905513
0.16,149640,108242,21.5172482937639,0.9005632931822032
0.14,155503,102379,21.603291439979348,0.9013264507901168
0.13,158693,99189,21.634350177153856,0.9016097332731521
0.12,162120,95762,21.67812273783036,0.9019233628270698
0.11,165726,92156,21.7140243042415,0.9021822620465644
0.10,169657,88225,21.762254052872326,0.9029166262657784
0.09,173790,84092,21.810138881160658,0.9034733982058984
0.08,178265,79617,21.8524489291355,0.9041124790856634
0.07,182922,74960,21.876922548873416,0.9044166220469926
0.06,188145,69737,21.90429774682685,0.9047120076793839
0.05,193921,63961,21.92484458353976,0.9050241362840028
0.04,200281,57601,21.943374185228006,0.9053792556263979
0.033,205346,52536,21.957250298475962,0.9056300281947788
0.026,211049,46833,21.977525339725382,0.9062278071385963
0.02,216650,41232,21.99245481215899,0.9068599892974504
